smiles	name
C#Cc1cccc(c1)OCC(=O)[O-]	EN300-1830550_i001
C#Cc1cccc(c1Cl)C(=O)[O-]	EN300-27081459_i001
C[C@H](CCCC#C)C(=O)[O-]	EN300-4271578_i001
C[C@@H](CCCC#C)C(=O)[O-]	EN300-4271578_i002
C#CCOCCC(=O)[O-]	EN300-118233_i001
COc1ccc(cc1C(=O)[O-])C#C	EN300-27081436_i001
CCC1(CC1)C#CC(=O)[O-]	EN300-2989793_i001
Cc1c(cccc1C(=O)[O-])C#C	EN300-3035938_i001
C#Cc1nc(cs1)C(=O)[O-]	EN300-7317222_i001
C#CC1(COC1)OCC(=O)[O-]	EN300-7726098_i001
CC(C)(C#CC(=O)[O-])O	EN300-2956232_i001
C#CC[C@]1(CCCOC1)C(=O)[O-]	EN300-1722543_i001
C#CC[C@@]1(CCCOC1)C(=O)[O-]	EN300-1722543_i002
C#CCNC(=O)NCCCC(=O)[O-]	EN300-8055618_i001
C#Cc1cc(cc(c1)Br)OCC(=O)[O-]	EN300-37079854_i001
COC(=O)c1ccc(cc1)C#CC(=O)[O-]	EN300-9429231_i001
C#CCC(CC#C)C(=O)[O-]	EN300-171776_i001
C#CC1(CCCC1)C(=O)[O-]	EN300-817827_i001
C#CC1CC2(C1)CC(C2)C(=O)[O-]	EN300-386317_i001
C#CC1CC2(C1)CC(C2)C(=O)[O-]	EN300-386317_i002
C#Cc1cccc(c1)NC(=O)CC(=O)[O-]	EN300-1168221_i001
COc1ccc(cc1)C#CC(=O)[O-]	EN300-743493_i001
CC1(COC1)C#CC(=O)[O-]	EN300-1667047_i001
C#CCC1(CC(C1)C(=O)[O-])O	EN300-1722372_i001
C#Cc1ccc(o1)C(=O)[O-]	EN300-2965892_i001
CCOC(=O)N[C@H](C(C)C)C(=O)[O-]	EN300-36521_i001
CCOC(=O)N[C@@H](C(C)C)C(=O)[O-]	EN300-36521_i002
CC(C)C[C@H](C(=O)[O-])NC(=O)OC	EN300-55409_i001
CC(C)C[C@@H](C(=O)[O-])NC(=O)OC	EN300-55409_i002
CC(C)[C@@H](C(=O)[O-])NC(=O)OC	EN300-72953_i001
CN(CC(=O)[O-])C(=O)OC	EN300-39005_i001
C[C@@H](C(=O)[O-])NC(=O)OC	EN300-120068_i001
CC[C@H](C)[C@@H](C(=O)[O-])NC(=O)OC	EN300-245807_i001
Cc1c(c(=O)[nH]c(n1)N)CC(=O)[O-]	EN300-38926_i001
CC(C)C[C@@H](C(=O)[O-])NC(=O)OC	EN300-246573_i001
CCOC(=O)N[C@@H](Cc1ccccc1)C(=O)[O-]	EN300-331410_i001
C1CC1[C@H](C(=O)[O-])ON	EN300-332394_i001
C1CC1[C@@H](C(=O)[O-])ON	EN300-332394_i002
C=CCOC(=O)NCC(=O)[O-]	EN300-866702_i001
CC(C)OC(=O)N1CCC[C@@H]1C(=O)[O-]	EN300-901624_i001
CC(C)OC(=O)N1CCC[C@H]1C(=O)[O-]	EN300-901624_i002
CCOC(=O)N(C)CC(=O)[O-]	EN300-39101_i001
C[C@@H](C(=O)[O-])NC(=O)Oc1ccccc1	EN300-50373_i001
C[C@H](C(=O)[O-])NC(=O)Oc1ccccc1	EN300-50373_i002
CCOC(=O)N[C@H](Cc1ccccc1)C(=O)[O-]	EN300-331691_i001
CC(C)[C@H](C(=O)[O-])NC(=O)OC	EN300-72808_i001
CC(C)[C@@H](C(=O)[O-])NC(=O)OC	EN300-72808_i002
COC(=O)N[C@H](Cc1ccccc1)C(=O)[O-]	EN300-55836_i001
COC(=O)N[C@@H](Cc1ccccc1)C(=O)[O-]	EN300-55836_i002
CCOC(=O)NCC(=O)[O-]	EN300-36390_i001
CC(C)C[C@@H](C(=O)[O-])ON	EN300-6487191_i001
CC(C)C[C@H](C(=O)[O-])ON	EN300-6487191_i002
COC(=O)N[C@@H](Cc1ccc(cc1)O)C(=O)[O-]	EN300-7430850_i001
CC(C)C[C@@H](C(=O)[O-])NC(=O)OC(C)C	EN300-9175867_i001
COC(=O)N1CCC[C@@H]1C(=O)[O-]	EN300-66845_i001
COC(=O)N1CCC[C@H]1C(=O)[O-]	EN300-66845_i002
c1ccc(cc1)C[C@H](C(=O)[O-])ON	EN300-1725659_i001
c1ccc(cc1)C[C@@H](C(=O)[O-])ON	EN300-1725659_i002
CC(C)[C@@H](C(=O)[O-])NC(=O)OC(C)C	EN300-97982_i001
C[C@@H]([C@@H](C(=O)[O-])NS(=O)(=O)c1ccc(cc1)Cl)O	EN300-04315_i001
C[C@@H]([C@H](C(=O)[O-])NS(=O)(=O)c1ccc(cc1)Cl)O	EN300-04315_i002
C[C@H]([C@@H](C(=O)[O-])NS(=O)(=O)c1ccc(cc1)Cl)O	EN300-04315_i003
C[C@H]([C@H](C(=O)[O-])NS(=O)(=O)c1ccc(cc1)Cl)O	EN300-04315_i004
c1cc(c(cc1C(=O)[O-])S(=O)(=O)N2CCCC2)Cl	EN300-00335_i001
CCN(CC)S(=O)(=O)c1cc(ccc1Cl)C(=O)[O-]	EN300-00336_i001
c1cc(c(cc1C(=O)[O-])S(=O)(=O)N)Cl	EN300-16166_i001
C[C@@H]([C@@H](C(=O)[O-])NS(=O)(=O)c1ccc(cc1)F)O	EN300-15778_i001
C[C@@H]([C@H](C(=O)[O-])NS(=O)(=O)c1ccc(cc1)F)O	EN300-15778_i002
C[C@H]([C@@H](C(=O)[O-])NS(=O)(=O)c1ccc(cc1)F)O	EN300-15778_i003
C[C@H]([C@H](C(=O)[O-])NS(=O)(=O)c1ccc(cc1)F)O	EN300-15778_i004
c1cc(c(cc1S(=O)(=O)NCC(=O)[O-])Cl)Cl	EN300-06096_i001
c1cc(c(cc1S(=O)(=O)N2CCCC2)C(=O)[O-])Cl	EN300-10570_i001
c1cc(c(cc1Cl)C(=O)[O-])F	EN300-21731_i001
CSCC[C@@H](C(=O)[O-])NC(=O)c1cc(ccn1)Cl	EN300-15123_i001
CSCC[C@H](C(=O)[O-])NC(=O)c1cc(ccn1)Cl	EN300-15123_i002
CN(OC)S(=O)(=O)c1ccc(c(c1)C(=O)[O-])Cl	EN300-13502_i001
c1cc(c(c(c1)F)Cl)C(=O)[O-]	EN300-84945_i001
Cc1cc(ccc1C(=O)[O-])Br	EN300-43616_i001
c1cc(c(cc1Br)Cl)C(=O)[O-]	EN300-44255_i001
CC(C)[C@@H](C(=O)[O-])NS(=O)(=O)c1ccccc1F	EN300-08378_i001
CC(C)[C@H](C(=O)[O-])NS(=O)(=O)c1ccccc1F	EN300-08378_i002
CN(CC(=O)[O-])S(=O)(=O)c1ccc(cc1)Cl	EN300-00237_i001
c1cc(c(cc1S(=O)(=O)N)C(=O)[O-])Cl	EN300-10798_i001
c1cc(ccc1F)S(=O)(=O)NCCC(=O)[O-]	EN300-10323_i001
c1cc(c(cc1F)Br)C(=O)[O-]	EN300-13701_i001
CS(=O)(=O)c1cc(ccc1Cl)C(=O)[O-]	EN300-10180_i001
c1cc(ccc1F)S(=O)(=O)NOCC(=O)[O-]	EN300-11161_i001
CN(OC)S(=O)(=O)c1cc(ccc1Cl)C(=O)[O-]	EN300-13620_i001
Cc1ccc(n1c2ccc(c(c2)C(=O)[O-])Cl)C	EN300-25540_i001
